live_url,live_family,option_file,option_family,match_confidence,match_score,match_reason,title_similarity,h1_similarity,description_similarity,cta_overlap,phone_match,address_match,year_match,rating_match,review_count_match,live_title,option_title,live_h1,option_h1
https://www.airexpresshvac.net/,home,index.html,home,exact,1.000,home-route,0.200,0.000,0.182,0.667,yes,no,yes,unknown,unknown,"HVAC Service Company in Lehi, UT | Air Express HVAC",Air Express HVAC | Your Neighbors in Heating & Cooling Since 1996,"Air Express HVAC: AC Installation, Repair &amp; Maintenance",Your Neighbors in Heating & Cooling Since 1996
https://www.airexpresshvac.net/about-us/,other,about.html,other,exact,1.000,legacy-route-rule,0.111,0.000,0.040,0.667,yes,no,yes,unknown,unknown,Air Express HVAC: Lehi HVAC Services - Contact Us Today,About Air Express HVAC | Our Utah Story,Air Express HVAC: Trusted Heating &amp; Air Conditioning Experts,Our Utah Story
https://www.airexpresshvac.net/about-us/accessibility-statement/,other,accessibility.html,other,exact,1.000,legacy-route-rule,0.500,1.000,0.222,0.667,yes,no,yes,unknown,unknown,Air Express HVAC: Accessibility Commitment,Accessibility Statement | Air Express HVAC,Accessibility Statement,Accessibility Statement
https://www.airexpresshvac.net/about-us/privacy-policy/,legal,privacy-policy.html,legal,exact,1.000,legacy-route-rule,0.500,0.286,0.125,0.667,yes,no,yes,unknown,unknown,Air Express HVAC Privacy Policy: Data Protection in 2025,Privacy Policy | Air Express HVAC,Air Express Heating &amp; Air Conditioning Privacy Policy: Data Protection,Privacy Policy
https://www.airexpresshvac.net/ac-airflow-problems-to-watch-for/,article,ac-repair.html,service,exact,1.000,legacy-route-rule,0.091,0.083,0.103,0.667,yes,no,yes,unknown,unknown,Eagle Mountain: 5 AC Airflow Problems to Watch For in 2025,"AC Repair in Lehi, UT | Air Express HVAC",5 AC Airflow Problems That Need Immediate Attention in Eagle Mountain,AC Not Working?
https://www.airexpresshvac.net/ac-compressor-not-starting/,service,ac-repair.html,service,exact,1.000,legacy-route-rule,0.091,0.077,0.032,0.667,yes,no,yes,unknown,unknown,AC Compressor Not Starting? What to Do in Eagle Mountain,"AC Repair in Lehi, UT | Air Express HVAC",What To Do When Your AC Compressor Won&#8217;t Start In Eagle Mountain,AC Not Working?
https://www.airexpresshvac.net/ac-fan-problems-solutions/,article,ac-repair.html,service,exact,1.000,legacy-route-rule,0.222,0.111,0.074,0.667,yes,no,yes,unknown,unknown,Saratoga Springs AC Fan Fixes: Air Express HVAC Solutions,"AC Repair in Lehi, UT | Air Express HVAC",AC Fan Problems and Professional Solutions in Saratoga Springs,AC Not Working?
https://www.airexpresshvac.net/ac-installation-lehi-ut/,service,ac-installation-lehi-ut.html,service,exact,1.000,direct-slug-rule,0.333,1.000,0.143,0.667,yes,no,yes,unknown,unknown,"Lehi, UT AC Installation: Expert Service &amp; Financing","AC Installation in Lehi, UT | Air Express Heating & Air Conditioning","AC Installation in Lehi, UT","Expert AC Installation in Lehi, UT"
https://www.airexpresshvac.net/ac-maintenance-lehi-ut/,service,ac-maintenance.html,service,exact,1.000,legacy-route-rule,1.000,0.000,0.211,0.667,yes,no,yes,unknown,unknown,"Lehi, UT AC Maintenance | Air Express HVAC Services","AC Maintenance in Lehi, UT | Air Express HVAC","AC Maintenance in Lehi, UT",Stop Surprises Before Summer.
https://www.airexpresshvac.net/ac-repair-eagle-mountain-ut/,service,ac-repair-eagle-mountain-ut.html,service,exact,1.000,direct-slug-rule,0.444,1.000,0.278,0.667,yes,no,yes,unknown,unknown,AC Repair Eagle Mountain - Fast Service [CURRENT_YEAR],"AC Repair in Eagle Mountain, UT | Air Express Heating & Air Conditioning","AC Repair In Eagle Mountain, UT","Expert AC Repair in Eagle Mountain, UT"
https://www.airexpresshvac.net/ac-repair-lehi-ut/,service,ac-repair-lehi-ut.html,service,exact,1.000,direct-slug-rule,0.500,1.000,0.208,0.667,yes,no,yes,unknown,unknown,"Air Express: Lehi, UT AC Repair &amp; Emergency Services in 2025","AC Repair in Lehi, UT | Air Express Heating & Air Conditioning","AC Repair in Lehi, UT","Expert AC Repair in Lehi, UT"
