source_date,evidence_class,service_titan_lead_id,created_at,modified_at,week_start,new_reward_impact_period,captcha_period,captcha_state,campaign_id_or_source,service_type_inferred,service_type_or_category,lead_status,priority,booked_job_id_if_available,sold_or_revenue_marker_if_approved,capture_source,business_unit_id,job_type_id,call_reason_id,customer_id_present,location_id_present,pii_excluded,source_evidence,blocker,next_action
2026-06-05,servicetitan_api_lead_history_redacted,84163865,2026-01-06T22:08:34.1393035Z,2026-01-06T22:08:34.2261519Z,2026-01-05,before_new_reward_target_brief,before_source_captcha,pre_captcha_source,80365029,unclassified_summary,call_reason:28,Dismissed,Normal,,,,,,28,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Review whether this non-website campaign belongs in Air Express marketing attribution.
2026-06-05,servicetitan_api_lead_history_redacted,84418838,2026-02-19T22:20:15.0731556Z,2026-02-19T22:20:15.2120384Z,2026-02-16,before_new_reward_target_brief,before_source_captcha,pre_captcha_source,80365413,unclassified_summary,call_reason:27,Dismissed,Normal,,,,,,27,true,true,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
2026-06-05,servicetitan_api_lead_history_redacted,84760212,2026-04-13T22:30:30.3040877Z,2026-04-24T22:02:41.7246619Z,2026-04-13,target_brief_to_ga4_lead_proof,before_source_captcha,pre_captcha_source,80365413,unclassified_summary,not_available,Dismissed,Normal,,,,,,,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
2026-06-05,servicetitan_api_lead_history_redacted,84760340,2026-04-13T22:33:34.3001953Z,2026-04-24T22:02:53.2632624Z,2026-04-13,target_brief_to_ga4_lead_proof,before_source_captcha,pre_captcha_source,80365413,other,not_available,Dismissed,Normal,,,,,,,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
2026-06-05,servicetitan_api_lead_history_redacted,84760342,2026-04-13T23:42:05.1986436Z,2026-04-24T22:03:03.7665777Z,2026-04-13,target_brief_to_ga4_lead_proof,before_source_captcha,pre_captcha_source,80365413,ac_repair,not_available,Dismissed,Normal,,,,,,,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
2026-06-05,servicetitan_api_lead_history_redacted,84762900,2026-04-13T23:41:41.5464974Z,2026-04-24T22:03:14.5492531Z,2026-04-13,target_brief_to_ga4_lead_proof,before_source_captcha,pre_captcha_source,80365413,ac_repair,not_available,Dismissed,Normal,,,,,,,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
2026-06-05,servicetitan_api_lead_history_redacted,84810388,2026-04-17T21:35:04.6265777Z,2026-04-24T22:03:28.0800549Z,2026-04-13,target_brief_to_ga4_lead_proof,before_source_captcha,pre_captcha_source,80365413,ac_repair,not_available,Dismissed,Normal,,,,,,,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
2026-06-05,servicetitan_api_lead_history_redacted,84813332,2026-04-18T00:27:12.880623Z,2026-04-24T22:03:42.914543Z,2026-04-13,target_brief_to_ga4_lead_proof,before_source_captcha,pre_captcha_source,80365413,emergency_repair,not_available,Dismissed,Normal,,,,,,,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
2026-06-05,servicetitan_api_lead_history_redacted,84813460,2026-04-18T05:52:52.6906129Z,2026-04-24T22:12:19.5458608Z,2026-04-13,target_brief_to_ga4_lead_proof,before_source_captcha,pre_captcha_source,80365413,other,not_available,Dismissed,Normal,,,,,,,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
2026-06-05,servicetitan_api_lead_history_redacted,84813462,2026-04-18T07:54:06.1519787Z,2026-04-24T22:04:12.9254638Z,2026-04-13,target_brief_to_ga4_lead_proof,before_source_captcha,pre_captcha_source,80365413,air_quality,not_available,Dismissed,Normal,,,,,,,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
2026-06-05,servicetitan_api_lead_history_redacted,84814996,2026-04-19T07:36:14.8538814Z,2026-04-24T22:04:27.6338363Z,2026-04-13,target_brief_to_ga4_lead_proof,before_source_captcha,pre_captcha_source,80365413,maintenance_tuneup,not_available,Dismissed,Normal,,,,,,,false,false,true,ServiceTitan CRM v2 GET /leads read-only API,,Join safe lead fields to GSC/GA4/GBP periods after Google history is restored.
